site_id,lat,lon,pft
153693,41.41252,-122.8069,annual crop
103706,36.98383,-121.47703,annual crop
481623,33.5348,-116.1461,annual crop
283257,41.86995,-122.1244,annual crop
151942,36.90669,-120.59229,annual crop
530845,35.9984,-119.12381,annual crop
544714,38.27095,-122.7963,annual crop
210257,38.10833,-121.61792,annual crop
104957,36.92691,-120.51245,annual crop
105131,40.46252,-122.27528,annual crop
106237,38.35169,-121.58371,annual crop
107465,39.69923,-122.16946,annual crop
473597,33.43724,-114.68133,annual crop
109128,33.52669,-116.15191,annual crop
392401,41.91132,-124.17961,annual crop
132001,41.93927,-122.34122,annual crop
429796,38.20673,-121.4581,annual crop
115235,35.12353,-118.84816,annual crop
116435,33.35475,-116.74664,annual crop
191246,41.91057,-121.43165,annual crop
117491,34.04324,-116.9361,annual crop
120233,33.52486,-114.69537,annual crop
547897,35.23941,-120.57801,annual crop
123985,33.51919,-114.68043,annual crop
403896,38.27176,-121.56815,annual crop
249538,41.25201,-120.55207,annual crop
477018,35.91706,-119.08182,annual crop
132050,36.59827,-120.03012,annual crop
362955,36.61842,-120.23239,annual crop
469689,38.7854,-121.65222,annual crop
389820,35.87972,-119.83453,annual crop
218152,32.74734,-114.61677,annual crop
305525,38.25604,-121.24852,annual crop
135430,36.37028,-120.13495,annual crop
382519,37.04585,-120.68907,annual crop
429878,39.95781,-120.04969,annual crop
333029,33.64297,-114.5397,annual crop
197238,33.46869,-114.72886,annual crop
585956,38.93142,-121.27207,annual crop
410129,38.31526,-121.54374,annual crop
545356,37.87974,-121.44013,annual crop
142070,36.39055,-119.08262,annual crop
142911,39.03671,-121.81684,annual crop
275257,37.22296,-122.35935,annual crop
349450,38.34372,-121.38798,annual crop
146773,33.76533,-118.07224,annual crop
144910,38.69267,-119.78543,annual crop
367937,38.32278,-122.52365,annual crop
280944,35.21795,-119.27254,annual crop
301358,39.39597,-122.11003,annual crop
198021,35.49212,-120.88669,annual crop
267107,33.74646,-118.06535,annual crop
468978,38.8737,-122.60029,annual crop
471679,38.26488,-121.51749,annual crop
366442,36.71079,-120.47323,annual crop
415052,34.9676,-120.6085,annual crop
159085,38.12677,-121.45505,annual crop
356562,36.86331,-120.52234,annual crop
300887,41.2829,-124.07295,annual crop
265174,35.28533,-118.80369,annual crop
467393,35.45963,-120.62559,annual crop
168969,32.73994,-114.62602,annual crop
465521,36.66572,-120.27731,annual crop
172138,38.53452,-121.653,annual crop
350345,33.26919,-115.53522,annual crop
492181,40.39526,-120.44619,annual crop
483395,38.10683,-121.59433,annual crop
292570,35.86081,-119.53917,annual crop
465088,38.1774,-122.5234,annual crop
476034,37.68219,-118.39947,annual crop
190520,33.6305,-117.78309,annual crop
186640,37.15332,-118.26679,annual crop
195307,38.33093,-121.73852,annual crop
479094,34.9037,-120.3486,annual crop
428988,38.08756,-121.45339,annual crop
498734,38.80693,-122.57189,annual crop
220260,41.41641,-120.09642,annual crop
520207,38.58221,-121.69117,annual crop
212927,38.44336,-121.86596,annual crop
213276,33.56945,-114.69411,annual crop
218528,38.16392,-121.50547,annual crop
219043,36.29207,-119.23622,annual crop
416511,33.38684,-117.14822,annual crop
230248,41.4807,-122.85458,annual crop
244000,40.3545,-120.34409,annual crop
513789,33.66958,-116.14216,annual crop
236415,38.20124,-121.50814,annual crop
514926,38.91531,-122.06567,annual crop
489220,38.63976,-121.88838,annual crop
285425,36.8517,-121.77037,annual crop
513114,39.57862,-122.25722,annual crop
251624,37.66257,-121.15369,annual crop
317932,36.44013,-119.7526,annual crop
377859,34.88732,-120.41055,annual crop
276852,38.99451,-122.90139,annual crop
534877,33.08413,-115.69655,annual crop
280108,37.17212,-118.23753,annual crop
282998,35.13309,-118.59014,annual crop
456433,38.16164,-121.49333,annual crop
290673,41.07167,-123.68867,annual crop
303912,33.43152,-114.73621,annual crop
305122,38.23454,-122.43239,annual crop
308358,33.28681,-117.12356,annual crop
308662,39.25378,-121.66257,annual crop
501032,33.5893,-116.13191,annual crop
319851,37.39429,-120.97138,annual crop
577429,37.70409,-121.39558,annual crop
367212,33.72103,-116.92052,annual crop
374899,33.70934,-114.5433,annual crop
485378,33.57115,-116.12236,annual crop
363707,36.69759,-119.84951,annual crop
561879,35.97321,-119.35328,annual crop
373657,38.092,-121.45399,annual crop
390442,37.68717,-118.40129,annual crop
404783,41.32089,-122.33855,annual crop
426500,39.96669,-122.01176,annual crop
421803,36.54671,-121.40635,annual crop
429074,38.54339,-121.60175,annual crop
458769,33.46415,-114.69356,annual crop
464824,34.41186,-119.50865,annual crop
489292,40.06774,-123.78417,annual crop
491512,35.49947,-119.3211,annual crop
526801,40.64176,-124.27928,annual crop
574848,34.75619,-120.39681,annual crop
328163,38.09936,-121.50154,annual crop
565118,38.10958,-121.53613,annual crop
522375,32.81281,-115.44207,annual crop
205678,38.13153,-121.55174,annual crop
592578,38.13799,-121.51401,annual crop
413887,38.12346,-121.54982,annual crop
440393,39.57712,-121.86221,annual crop
420343,37.69949,-121.1391,annual crop
132390,39.59614,-122.0226,annual crop
52519,38.17441,-121.51733,annual crop
248496,38.11573,-121.64507,annual crop
296871,38.54294,-121.87237,annual crop
589918,36.62289,-121.54925,annual crop
535358,39.68222,-122.0026,annual crop
589581,38.09222,-121.64036,annual crop
590073,38.10809,-121.65527,annual crop
452888,36.34204,-120.1055,annual crop
17,36.6965,-120.53421,woody perennial crop
134875,38.21484,-121.52499,woody perennial crop
571955,33.09587,-115.73759,woody perennial crop
161435,35.29056,-119.05772,woody perennial crop
369344,36.71626,-119.96962,woody perennial crop
512756,38.15819,-121.23751,woody perennial crop
566770,39.34895,-121.72128,woody perennial crop
54833,36.10411,-120.23433,woody perennial crop
8668,38.44478,-121.95053,woody perennial crop
467962,36.9949,-121.78515,woody perennial crop
1153,35.15723,-119.27897,woody perennial crop
88520,36.62483,-119.76145,woody perennial crop
554065,35.65592,-119.69458,woody perennial crop
462571,35.50786,-119.64718,woody perennial crop
447167,36.88635,-119.86856,woody perennial crop
73106,36.88932,-120.31171,woody perennial crop
572747,38.75896,-120.68964,woody perennial crop
96179,33.59312,-114.59425,woody perennial crop
467317,38.13706,-121.63364,woody perennial crop
73768,35.61603,-119.26697,woody perennial crop
18270,34.72126,-120.19997,woody perennial crop
376633,39.74116,-122.2359,woody perennial crop
253038,38.36154,-122.82734,woody perennial crop
134715,36.13716,-119.52616,woody perennial crop
220717,33.47776,-116.14052,woody perennial crop
452469,39.86704,-122.09493,woody perennial crop
473860,36.42672,-119.09358,woody perennial crop
215962,35.05319,-118.97725,woody perennial crop
159648,39.88717,-122.17061,woody perennial crop
38321,39.82108,-122.30296,woody perennial crop
365708,36.52532,-119.37088,woody perennial crop
105440,35.22679,-118.81881,woody perennial crop
313668,39.39649,-121.70382,woody perennial crop
2653,39.25661,-121.65298,woody perennial crop
323905,38.33333,-121.60995,woody perennial crop
368371,35.69268,-119.23541,woody perennial crop
290411,33.53484,-115.95603,woody perennial crop
2905,33.47933,-114.61027,woody perennial crop
329938,37.76802,-121.11245,woody perennial crop
487429,35.86752,-119.37101,woody perennial crop
100518,33.3237,-117.04137,woody perennial crop
217858,36.96609,-120.02691,woody perennial crop
172064,38.72224,-121.70107,woody perennial crop
228783,38.36623,-122.82506,woody perennial crop
406162,38.17324,-121.34889,woody perennial crop
378839,36.51324,-119.50867,woody perennial crop
85499,36.35202,-119.86427,woody perennial crop
447201,38.47245,-121.49604,woody perennial crop
24076,36.3407,-119.83474,woody perennial crop
433076,38.67655,-121.84944,woody perennial crop
489926,37.75963,-121.86466,woody perennial crop
462513,38.19771,-121.4554,woody perennial crop
234164,35.80713,-120.06288,woody perennial crop
522419,38.30353,-122.70258,woody perennial crop
416499,33.38593,-117.14811,woody perennial crop
44296,32.81069,-114.5616,woody perennial crop
324567,33.25685,-115.51334,woody perennial crop
31262,39.59959,-122.0952,woody perennial crop
155331,36.38004,-119.49256,woody perennial crop
353683,39.7469,-122.22126,woody perennial crop
514425,38.95317,-121.04732,woody perennial crop
32947,35.24923,-120.58882,woody perennial crop
422591,36.30794,-119.20054,woody perennial crop
404131,38.26133,-121.23668,woody perennial crop
401540,39.65054,-122.2603,woody perennial crop
109896,33.59029,-117.30343,woody perennial crop
5788,35.50834,-119.74449,woody perennial crop
468081,40.4529,-122.44805,woody perennial crop
288969,39.69928,-122.17149,woody perennial crop
277981,35.08068,-119.16403,woody perennial crop
