site_id,lat,lon,pft,cluster,dist_to_centroid
578706,37.91524,-121.49583,annual crop,3157,0.7753084184772739
519415,36.86251,-120.68459,annual crop,2835,0.8326500416157978
261568,40.39943,-120.65688,annual crop,3735,0.8779052572086269
254589,38.86065,-121.48078,annual crop,2399,0.4666062843203846
28587,38.4202,-122.80967,annual crop,1634,0
170051,36.78078,-120.42165,annual crop,3492,0.9776461918427329
383491,36.6556,-121.6798,annual crop,4188,0.31609655352496785
195331,37.07971,-120.91969,annual crop,697,0.6986350910952156
152623,39.95652,-122.0961,annual crop,2483,1.5094203954980105
327679,39.21619,-121.52823,annual crop,1330,0.5690440913945874
307589,37.77521,-120.90672000000001,annual crop,2222,0
44719,37.91933,-121.54569,annual crop,4315,0.7851090770104011
149539,38.12199,-121.41586,annual crop,1236,0.8757927381970577
129013,36.26398,-119.60331,annual crop,4255,0.8136993892723994
576334,38.35256,-121.82559,annual crop,3582,0.8406378771966421
293906,36.98279,-121.57033,annual crop,3310,0.8054549958159753
29206,39.12663,-121.93232,annual crop,2673,0.6787452779867373
560463,35.10787,-120.39166,annual crop,4128,0.7978554050396687
497318,37.65203,-121.12111,annual crop,1310,0.679196054875226
103561,37.15599,-120.64435,annual crop,4163,1.1275756406162922
336668,37.46995,-120.86196,annual crop,4115,0
98967,37.53385,-120.95556,annual crop,1411,0.5521271555211978
274408,34.92134,-120.41404,annual crop,4363,0.8213761019485183
192363,38.71477,-121.62484,annual crop,2431,1.1354753828844861
263820,39.26834,-122.10651,annual crop,2856,0.4262160624002297
89527,37.79827,-121.47586,annual crop,3158,1.0987401288285894
576296,33.59725,-114.63646,annual crop,2219,1.327851413267779
298756,39.28837,-122.19018,annual crop,714,0.4448871974044041
509313,41.89929,-120.33908,annual crop,3687,0.7295894209983836
